우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
34131|대전광역시|Daejeon|유성구|Yuseong-gu|||302002010001|대덕대로|Daedeok-daero|0|507|150|3020012600100710005008125||광산김씨사당|3020012600|가정동||신성동|0|71|02|7||
34131|대전광역시|Daejeon|유성구|Yuseong-gu|||302002010001|대덕대로|Daedeok-daero|0|523|0|3020012600100020000008469|||3020012600|가정동|||0|2|02|0||
34129|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167001|가정로|Gajeong-ro|0|168|0|3020012600101380000006865||KT북대전지점|3020012600|가정동||신성동|0|138|02|0||
34132|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167005|과학로|Gwahak-ro|0|80|17|3020012600100340000008761||LG유플러스대전R&D센터|3020012600|가정동||신성동|0|34|04|0||
34131|대전광역시|Daejeon|유성구|Yuseong-gu|||302002010001|대덕대로|Daedeok-daero|0|507|115|3020012600100360000008763||대전교육정보원|3020012600|가정동||신성동|0|36|02|0||
34131|대전광역시|Daejeon|유성구|Yuseong-gu|||302002010001|대덕대로|Daedeok-daero|0|515|0|3020012600100380000008359||대덕중학교|3020012600|가정동||신성동|0|38|02|0||
34132|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167005|과학로|Gwahak-ro|0|82|0|3020012600100330000008854||국제지식재산연수원|3020012600|가정동||신성동|0|33|04|0||
34130|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301106|대덕대로541번길|Daedeok-daero 541beon-gil|0|99|0|3020012600102360002007301||도룡포레미소지움아파트|3020012600|가정동||신성동|0|277|01|0||
34131|대전광역시|Daejeon|유성구|Yuseong-gu|||302002010001|대덕대로|Daedeok-daero|0|507|50|3020012600100360001008770||대전교육과학연구원|3020012600|가정동||신성동|0|36|02|1||
34131|대전광역시|Daejeon|유성구|Yuseong-gu|||302002010001|대덕대로|Daedeok-daero|0|507|38|3020012600100370000008212||유성도서관|3020012600|가정동||신성동|0|37|02|0||
34113|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167001|가정로|Gajeong-ro|0|201|0|3020012600101800001000419||한국연구재단|3020012600|가정동||신성동|0|180|02|0||
